Instance,Miliseconds,Opt, optCalc,Capacity
0,0,1005,1005,997
1,2,993,993,982
2,1,1008,1008,998
3,3,1011,1011,1001
4,1,1047,1047,1037
5,1,1539,1539,1526
6,1,1845,1845,1828
7,0,1866,1866,1853
8,1,2049,2049,2035
9,1,2538,2538,2520
10,1,2577,2577,2558
11,2,3018,3018,2996
12,2,3561,3561,3538
13,2,3753,3753,3732
14,2,4572,4572,4554
15,3,4143,4143,4125
16,2,4521,4521,4497
17,3,4425,4425,4400
18,2,4623,4623,4595
19,3,4947,4947,4923
20,3,5811,5811,5788
21,3,5595,5595,5569
22,3,5634,5634,5602
23,5,6597,6597,6564
24,3,5805,5805,5782
25,3,6387,6387,6354
26,4,7254,7254,7221
27,3,5697,5697,5668
28,3,6393,6393,6353
29,4,7509,7509,7471
30,4,7674,7674,7639
31,4,7704,7704,7670
32,5,9162,9162,9131
33,5,8442,8442,8406
34,5,8475,8475,8440
35,3,7053,7053,7014
36,5,8982,8982,8944
37,5,8970,8970,8930
38,6,10533,10533,10494
39,6,10674,10674,10634
40,5,9993,9993,9958
41,6,10272,10272,10235
42,6,11526,11526,11493
43,6,10938,10938,10901
44,6,10131,10131,10090
45,7,12513,12513,12468
46,6,11070,11070,11031
47,8,12750,12750,12703
48,5,9801,9801,9758
49,7,12513,12513,12473
0,1,1005,1005,997
1,0,993,993,982
2,0,1008,1008,998
3,1,1011,1011,1001
4,0,1047,1047,1037
5,0,1539,1539,1526
6,1,1845,1845,1828
7,1,1866,1866,1853
8,0,2049,2049,2035
9,1,2538,2538,2520
10,1,2577,2577,2558
11,1,3018,3018,2996
12,1,3561,3561,3538
13,1,3753,3753,3732
14,1,4572,4572,4554
15,1,4143,4143,4125
16,2,4521,4521,4497
17,1,4425,4425,4400
18,1,4623,4623,4595
19,2,4947,4947,4923
20,1,5811,5811,5788
21,1,5595,5595,5569
22,2,5634,5634,5602
23,2,6597,6597,6564
24,2,5805,5805,5782
25,2,6387,6387,6354
26,1,7254,7254,7221
27,1,5697,5697,5668
28,2,6393,6393,6353
29,2,7509,7509,7471
30,2,7674,7674,7639
31,2,7704,7704,7670
32,2,9162,9162,9131
33,2,8442,8442,8406
34,2,8475,8475,8440
35,2,7053,7053,7014
36,4,8982,8982,8944
37,3,8970,8970,8930
38,3,10533,10533,10494
39,4,10674,10674,10634
40,3,9993,9993,9958
41,2,10272,10272,10235
42,3,11526,11526,11493
43,3,10938,10938,10901
44,2,10131,10131,10090
45,3,12513,12513,12468
46,2,11070,11070,11031
47,3,12750,12750,12703
48,2,9801,9801,9758
49,4,12513,12513,12473
